Department	CourseID	Credits	Course Name	
MATH	335	3.0	INTRODUCTION TO MATHEMATICAL STATISTICS	
MATH	348	3.0	ADVANCED ENGINEERING MATHEMATICS	
MATH	408	3.0	COMPUTATIONAL METHODS FOR DIFFERENTIAL EQUATIONS	
MATH	424	3.0	INTRODUCTION TO APPLIED STATISTICS	
MATH	431	3.0	MATHEMATICAL BIOLOGY	
MATH	432	3.0	SPATIAL STATISTICS	
MATH	436	3.0	ADVANCED STATISTICAL MODELING	
MATH	437	3.0	MULTIVARIATE ANALYSIS	
MATH	438	3.0	STOCHASTIC MODELS	
MATH	439	3.0	SURVIVAL ANALYSIS	
MATH	440	3.0	PARALLEL SCIENTIFIC COMPUTING	
MATH	454	3.0	COMPLEX ANALYSIS	
MATH	455	3.0	PARTIAL DIFFERENTIAL EQUATIONS	
MATH	457	3.0	INTEGRAL EQUATIONS	
MATH	458	3.0	ABSTRACT ALGEBRA	
MATH	459	3.0	ASYMPTOTICS	
MATH	472	3.0	MATHEMATICAL AND COMPUTATIONAL NEUROSCIENCE	
MATH	482	4.0	STATISTICS PRACTICUM (CAPSTONE) (STAT Capstone)	
MATH	484	4.0	MATHEMATICAL AND COMPUTATIONAL MODELING (CAPSTONE)	
MATH	500	3.0	LINEAR VECTOR SPACES	
MATH	501	3.0	APPLIED ANALYSIS	
MATH	514	3.0	APPLIED MATHEMATICS I	
MATH	515	3.0	APPLIED MATHEMATICS II	
MATH	530	3.0	INTRODUCTION TO STATISTICAL METHODS	
MATH	531	3.0	THEORY OF LINEAR MODELS	
MATH	534	3.0	MATHEMATICAL STATISTICS I	
MATH	535	3.0	MATHEMATICAL STATISTICS II	
MATH	550	3.0	NUMERICAL SOLUTION OF PARTIAL DIFFERENTIAL EQUATIONS	
MATH	551	3.0	COMPUTATIONAL LINEAR ALGEBRA	
MEGN	200	3.0	INTRODUCTION TO MECHANICAL ENGINEERING: PROGRAMMING AND HARDWARE INTERFACE	
MEGN	201	3.0	INTRODUCTION TO MECHANICAL ENGINEERING: DESIGN & FABRICATION	
MEGN	212	3.0	INTRODUCTION TO SOLID MECHANICS	
MEGN	300	3.0	INSTRUMENTATION & AUTOMATION	
MEGN	301	2.0	MECHANICAL INTEGRATION & DESIGN	
MEGN	315	3.0	DYNAMICS	
MEGN	324	3.0	INTRODUCTION TO FINITE ELEMENT ANALYSIS	
MEGN	330	3.0	INTRODUCTION TO BIOMECHANICAL ENGINEERING	
MEGN	340	3.0	COOPERATIVE EDUCATION	
MEGN	351	3.0	FLUID MECHANICS	
MEGN	361	3.0	THERMODYNAMICS I	
MEGN	381	3.0	MANUFACTURING PROCESSES	
MEGN	391	3.0	AUTOMOTIVE DESIGN: SAE COLLEGIATE DESIGN SERIES (FORMULA SAE)	
MEGN	408	3.0	INTRODUCTION TO SPACE EXPLORATION	
MEGN	412	3.0	ADVANCED MECHANICS OF MATERIALS	
MEGN	414	3.0	MECHANICS OF COMPOSITE MATERIALS	
MEGN	416	3.0	ENGINEERING VIBRATION	
